place_id,sequence_string,sequence_label,sequence_cluster_id
13101000200,0100000,seq_0100000,SC1
13101000300,0010000,seq_0010000,SC2
13101000400,0100000,seq_0100000,SC1
13101000500,0000110,seq_0000110,SC1
13101000600,0000000,seq_0000000,SC0_no_presence
13101000800,0111110,seq_0111110,SC1
13101000900,0110010,seq_0110010,SC1
13101001000,0110000,seq_0110000,SC1
13101001100,0100000,seq_0100000,SC1
13101001200,0100000,seq_0100000,SC1
13101001300,0100000,seq_0100000,SC1
13101001400,0000001,seq_0000001,SC1
13101002100,0100000,seq_0100000,SC1
13101002200,1111001,seq_1111001,SC1
13101003000,0000000,seq_0000000,SC0_no_presence
13101004100,0111001,seq_0111001,SC1
13101004200,1110001,seq_1110001,SC1
13101004500,0010000,seq_0010000,SC2
13101004900,0110000,seq_0110000,SC1
13101005100,0000001,seq_0000001,SC1
13101005200,0000000,seq_0000000,SC0_no_presence
13101005300,0000001,seq_0000001,SC1
13101005500,0100000,seq_0100000,SC1
13101005600,0110000,seq_0110000,SC1
13101005700,0100000,seq_0100000,SC1
13101005800,0100000,seq_0100000,SC1
13101006000,0101110,seq_0101110,SC1
13101006500,0100000,seq_0100000,SC1
13101006600,0001000,seq_0001000,SC3
13101007100,0110010,seq_0110010,SC1
13101007300,0000001,seq_0000001,SC1
13101007500,0000010,seq_0000010,SC1
13101007800,0010000,seq_0010000,SC2
13101009400,0000000,seq_0000000,SC0_no_presence
13101009800,0000000,seq_0000000,SC0_no_presence
13101009900,0100000,seq_0100000,SC1
13101010200,0110000,seq_0110000,SC1
13102000100,0100000,seq_0100000,SC1
13102000200,0000001,seq_0000001,SC1
13102000300,0000001,seq_0000001,SC1
13102001200,0000000,seq_0000000,SC0_no_presence
13102007700,0111111,seq_0111111,SC1
13102014000,0000000,seq_0000000,SC0_no_presence
13103000100,0100000,seq_0100000,SC1
13103000200,0110000,seq_0110000,SC1
13103000300,0100000,seq_0100000,SC1
13103000500,0111000,seq_0111000,SC1
13103000700,0000001,seq_0000001,SC1
13103000800,0001000,seq_0001000,SC3
13103000900,1101000,seq_1101000,SC1
13103000902,0100000,seq_0100000,SC1
13103001500,0000001,seq_0000001,SC1
13103001700,0000001,seq_0000001,SC1
13103001800,0100000,seq_0100000,SC1
13103002100,0000000,seq_0000000,SC0_no_presence
13103002300,0100000,seq_0100000,SC1
13103002400,0001000,seq_0001000,SC3
13103002500,0001000,seq_0001000,SC3
13103002501,0001000,seq_0001000,SC3
13103002502,0001000,seq_0001000,SC3
13103002503,0001000,seq_0001000,SC3
13103002504,0001000,seq_0001000,SC3
13103002505,0001000,seq_0001000,SC3
13103002506,0001000,seq_0001000,SC3
13103002507,0001000,seq_0001000,SC3
13103002508,0001000,seq_0001000,SC3
13103002509,0001000,seq_0001000,SC3
13103002600,0001000,seq_0001000,SC3
13103002700,0010000,seq_0010000,SC2
13103002800,0001000,seq_0001000,SC3
13103002900,0111000,seq_0111000,SC1
13103003000,0100000,seq_0100000,SC1
13103003100,0100000,seq_0100000,SC1
13103003300,0001000,seq_0001000,SC3
13103003600,0001000,seq_0001000,SC3
13103003700,0010000,seq_0010000,SC2
13103003800,0100000,seq_0100000,SC1
13103003900,0100000,seq_0100000,SC1
13103004000,0100000,seq_0100000,SC1
13103004100,0100000,seq_0100000,SC1
13103004200,0100000,seq_0100000,SC1
13103004300,0100000,seq_0100000,SC1
13103004400,0100000,seq_0100000,SC1
13103004500,0100000,seq_0100000,SC1
13103004600,0100000,seq_0100000,SC1
13103004800,0100000,seq_0100000,SC1
13103004900,0001000,seq_0001000,SC3
13103005000,0100000,seq_0100000,SC1
13103005100,0100000,seq_0100000,SC1
13103005200,0000100,seq_0000100,SC4
13103005400,0001000,seq_0001000,SC3
13103005600,0010000,seq_0010000,SC2
13103005700,0001000,seq_0001000,SC3
13103006000,0111010,seq_0111010,SC1
13103006100,0001000,seq_0001000,SC3
13103006400,0110111,seq_0110111,SC1
13103006500,0100000,seq_0100000,SC1
13103006600,0100000,seq_0100000,SC1
13103006700,0100001,seq_0100001,SC1
13103006800,0100000,seq_0100000,SC1
13103006900,1110000,seq_1110000,SC1
13103007000,0100000,seq_0100000,SC1
13103007100,0001000,seq_0001000,SC3
13103007400,0010000,seq_0010000,SC2
13103007500,1111110,seq_1111110,SC1
13103008700,0000001,seq_0000001,SC1
13103009800,0000000,seq_0000000,SC0_no_presence
13103009900,0111000,seq_0111000,SC1
13103010000,0111110,seq_0111110,SC1
13103010900,0000110,seq_0000110,SC1
13103011500,0111001,seq_0111001,SC1
13103011800,0100000,seq_0100000,SC1
13103011900,0000000,seq_0000000,SC0_no_presence
13103012300,0001000,seq_0001000,SC3
13103013300,0101100,seq_0101100,SC1
13103014500,0000110,seq_0000110,SC1
13103014901,0100000,seq_0100000,SC1
13103015600,0111111,seq_0111111,SC1
13103015900,0011000,seq_0011000,SC1
13103018300,0000001,seq_0000001,SC1
13103019200,0100000,seq_0100000,SC1
13103020800,0000000,seq_0000000,SC0_no_presence
13103021400,0001110,seq_0001110,SC3
13103021800,0000000,seq_0000000,SC0_no_presence
13103022300,0011001,seq_0011001,SC1
13103022400,0000000,seq_0000000,SC0_no_presence
13103022500,0100000,seq_0100000,SC1
13103022700,0000000,seq_0000000,SC0_no_presence
13103022900,0000000,seq_0000000,SC0_no_presence
13103023500,0000000,seq_0000000,SC0_no_presence
13104000100,0110000,seq_0110000,SC1
13104000200,1111110,seq_1111110,SC1
13104000300,0000110,seq_0000110,SC1
13104000400,0100000,seq_0100000,SC1
13104000500,0100000,seq_0100000,SC1
13104000600,0000100,seq_0000100,SC4
13104000800,0001010,seq_0001010,SC3
13104001000,1111110,seq_1111110,SC1
13104001100,0100000,seq_0100000,SC1
13104001400,0100000,seq_0100000,SC1
13104001500,1100000,seq_1100000,SC1
13104001600,0000001,seq_0000001,SC1
13104001700,0111100,seq_0111100,SC1
13104001800,0111001,seq_0111001,SC1
13104002000,0100000,seq_0100000,SC1
13104002700,1100000,seq_1100000,SC1
13104002800,0000001,seq_0000001,SC1
13104002900,0000010,seq_0000010,SC1
13104003500,1111111,seq_1111111,SC1
13104003700,0100000,seq_0100000,SC1
13104003800,0100000,seq_0100000,SC1
13104004000,0100000,seq_0100000,SC1
13104004300,1111110,seq_1111110,SC1
13104004500,1000000,seq_1000000,SC5
13104004900,1111111,seq_1111111,SC1
13104005200,0110100,seq_0110100,SC1
13104005400,0100000,seq_0100000,SC1
13104005500,0100000,seq_0100000,SC1
13104005600,0100000,seq_0100000,SC1
13104005900,0100000,seq_0100000,SC1
13104006000,1110000,seq_1110000,SC1
13104006100,1100010,seq_1100010,SC1
13104006200,0100000,seq_0100000,SC1
13104006500,1111100,seq_1111100,SC1
13104006600,0111000,seq_0111000,SC1
13104006700,0100001,seq_0100001,SC1
13104006800,1111001,seq_1111001,SC1
13104006900,0100000,seq_0100000,SC1
13104007300,0111111,seq_0111111,SC1
13104007400,1000000,seq_1000000,SC5
13104007700,1101110,seq_1101110,SC1
13104007900,1111110,seq_1111110,SC1
13104008000,1111000,seq_1111000,SC1
13104008400,1100000,seq_1100000,SC1
13104008500,1111110,seq_1111110,SC1
13104008800,1100000,seq_1100000,SC1
13104009000,0100000,seq_0100000,SC1
13104009100,0100000,seq_0100000,SC1
13104009300,0100000,seq_0100000,SC1
13104009500,1100000,seq_1100000,SC1
13104009600,1100000,seq_1100000,SC1
13104009700,0100000,seq_0100000,SC1
13104009800,0110000,seq_0110000,SC1
13104009900,0100000,seq_0100000,SC1
13104010000,0100000,seq_0100000,SC1
13104010100,1111011,seq_1111011,SC1
13104010300,1100110,seq_1100110,SC1
13104010400,0100000,seq_0100000,SC1
13104010700,1111000,seq_1111000,SC1
13104011000,1100000,seq_1100000,SC1
13104011300,0100000,seq_0100000,SC1
13104011400,0100000,seq_0100000,SC1
13104011500,0101001,seq_0101001,SC1
13104011600,1100000,seq_1100000,SC1
13104011700,0100000,seq_0100000,SC1
13104012400,1100001,seq_1100001,SC1
13104012500,0100000,seq_0100000,SC1
13104012600,0100110,seq_0100110,SC1
13104012700,0001000,seq_0001000,SC3
13104012800,0100001,seq_0100001,SC1
13104013000,0101100,seq_0101100,SC1
13104013800,0111101,seq_0111101,SC1
13104014100,1000000,seq_1000000,SC5
13104014600,0100000,seq_0100000,SC1
13104015100,0100000,seq_0100000,SC1
13104015200,0010000,seq_0010000,SC2
13104015400,0001000,seq_0001000,SC3
13104015600,0100000,seq_0100000,SC1
13104015800,1111000,seq_1111000,SC1
13105000100,0101000,seq_0101000,SC1
13105000200,0001000,seq_0001000,SC3
13105000300,0101001,seq_0101001,SC1
13105000400,0100000,seq_0100000,SC1
13105000500,0100000,seq_0100000,SC1
13105000600,0100000,seq_0100000,SC1
13105000700,1101000,seq_1101000,SC1
13105000800,0100000,seq_0100000,SC1
13105000900,0010000,seq_0010000,SC2
13105001000,0010000,seq_0010000,SC2
13105001100,0111000,seq_0111000,SC1
13105001200,0100000,seq_0100000,SC1
13105001300,0001000,seq_0001000,SC3
13105001400,1110000,seq_1110000,SC1
13105001500,0001000,seq_0001000,SC3
13105001600,0111110,seq_0111110,SC1
13105001700,0100000,seq_0100000,SC1
13105001800,0110000,seq_0110000,SC1
13105001900,0100000,seq_0100000,SC1
13105002000,0001000,seq_0001000,SC3
13105002100,1100000,seq_1100000,SC1
13105002200,0100000,seq_0100000,SC1
13105002300,0001000,seq_0001000,SC3
13105002400,0100000,seq_0100000,SC1
13105002500,1110000,seq_1110000,SC1
13105002600,1110100,seq_1110100,SC1
13105002700,0100000,seq_0100000,SC1
13105002800,0110000,seq_0110000,SC1
13105002801,0110000,seq_0110000,SC1
13105002802,0100000,seq_0100000,SC1
13105002803,0110000,seq_0110000,SC1
13105002804,0010000,seq_0010000,SC2
13105003100,0100000,seq_0100000,SC1
13105003200,0110000,seq_0110000,SC1
13105003300,1110111,seq_1110111,SC1
13105003500,0100000,seq_0100000,SC1
13105003700,0001000,seq_0001000,SC3
13105003800,0100000,seq_0100000,SC1
13105004000,0100000,seq_0100000,SC1
13105004700,1111010,seq_1111010,SC1
13105004800,1111010,seq_1111010,SC1
13105005000,1010000,seq_1010000,SC2
13105005100,1111111,seq_1111111,SC1
13105005500,0100000,seq_0100000,SC1
13105005600,1100000,seq_1100000,SC1
13105005800,0111111,seq_0111111,SC1
13105005900,1100110,seq_1100110,SC1
13105006000,0100001,seq_0100001,SC1
13105006200,0000001,seq_0000001,SC1
13105006500,0100001,seq_0100001,SC1
13105006600,0100000,seq_0100000,SC1
13105006800,0100010,seq_0100010,SC1
13105006900,0101100,seq_0101100,SC1
13105007300,1110101,seq_1110101,SC1
13105007400,0110010,seq_0110010,SC1
13105007800,0100000,seq_0100000,SC1
13105008100,0100000,seq_0100000,SC1
13105008200,1100000,seq_1100000,SC1
13105008400,0110000,seq_0110000,SC1
13105008500,0100110,seq_0100110,SC1
13105008600,0110000,seq_0110000,SC1
13105008800,0100000,seq_0100000,SC1
13105008900,0100000,seq_0100000,SC1
13105009000,0100000,seq_0100000,SC1
13105009100,0011000,seq_0011000,SC1
13105009200,0100000,seq_0100000,SC1
13105009302,1000000,seq_1000000,SC5
13105009400,0000010,seq_0000010,SC1
13105009500,0110000,seq_0110000,SC1
13105009700,1110010,seq_1110010,SC1
13105010100,0010000,seq_0010000,SC2
13105010200,0110000,seq_0110000,SC1
13105010300,1111110,seq_1111110,SC1
13105010700,0101100,seq_0101100,SC1
13105011300,0101001,seq_0101001,SC1
13105011400,1100000,seq_1100000,SC1
13105011500,1111101,seq_1111101,SC1
13105011700,0110000,seq_0110000,SC1
13105011800,0101111,seq_0101111,SC1
13105011900,0100000,seq_0100000,SC1
13105012300,0100001,seq_0100001,SC1
13105012600,1110001,seq_1110001,SC1
13105012700,0100111,seq_0100111,SC1
13105012900,0111111,seq_0111111,SC1
13105013100,0111100,seq_0111100,SC1
13105013300,0100000,seq_0100000,SC1
13105013400,0101110,seq_0101110,SC1
13105013700,1000110,seq_1000110,SC1
13105013800,0111111,seq_0111111,SC1
13105014400,0000001,seq_0000001,SC1
13105014500,0100000,seq_0100000,SC1
13106000100,0100000,seq_0100000,SC1
13106000200,0101000,seq_0101000,SC1
13106000300,0001000,seq_0001000,SC3
13106000401,1111111,seq_1111111,SC1
13106000402,0000110,seq_0000110,SC1
13106000403,0000110,seq_0000110,SC1
13106000404,0100000,seq_0100000,SC1
13106000405,1101111,seq_1101111,SC1
13106000406,0001111,seq_0001111,SC1
13106000407,0111110,seq_0111110,SC1
13106000408,1111111,seq_1111111,SC1
13106000409,0101110,seq_0101110,SC1
13106000410,0000110,seq_0000110,SC1
13106000411,0001110,seq_0001110,SC3
13106000412,0110110,seq_0110110,SC1
13106000413,0101110,seq_0101110,SC1
13106000414,0000110,seq_0000110,SC1
13106000500,0001000,seq_0001000,SC3
13106000600,0110000,seq_0110000,SC1
13106000801,0110111,seq_0110111,SC1
13106000900,0001000,seq_0001000,SC3
13106001000,0100000,seq_0100000,SC1
13106001300,0001000,seq_0001000,SC3
13106001400,0001000,seq_0001000,SC3
13106001500,0100000,seq_0100000,SC1
13106001900,0111000,seq_0111000,SC1
13106002300,0001111,seq_0001111,SC1
13106002500,0000110,seq_0000110,SC1
13106003001,0101110,seq_0101110,SC1
13106003002,0101110,seq_0101110,SC1
13106003100,0011110,seq_0011110,SC3
13106003201,0000110,seq_0000110,SC1
13106003202,0001111,seq_0001111,SC1
13106003203,0001110,seq_0001110,SC3
13106003500,0111110,seq_0111110,SC1
13106003600,0000111,seq_0000111,SC1
13106003700,0000110,seq_0000110,SC1
13106003900,1101110,seq_1101110,SC1
13106004300,0000001,seq_0000001,SC1
13106004600,0000001,seq_0000001,SC1
13106004700,0100111,seq_0100111,SC1
13106005300,0001111,seq_0001111,SC1
13106005400,0000100,seq_0000100,SC4
13106005500,0000110,seq_0000110,SC1
13106005900,0000110,seq_0000110,SC1
13106006100,0100000,seq_0100000,SC1
13106006200,0100111,seq_0100111,SC1
13106006400,0101000,seq_0101000,SC1
13106006900,0001111,seq_0001111,SC1
13106007200,0110111,seq_0110111,SC1
13106007300,0000111,seq_0000111,SC1
13106007500,0111111,seq_0111111,SC1
13106007800,0001110,seq_0001110,SC3
13106008100,0001110,seq_0001110,SC3
13106008900,0001110,seq_0001110,SC3
13106009700,0100111,seq_0100111,SC1
13106009900,0001111,seq_0001111,SC1
13106010000,0100111,seq_0100111,SC1
13106010200,0000110,seq_0000110,SC1
13106010500,0000110,seq_0000110,SC1
13106010700,0000110,seq_0000110,SC1
13106011400,0000110,seq_0000110,SC1
13106011600,0011111,seq_0011111,SC1
13106011700,0100000,seq_0100000,SC1
13106012500,0000001,seq_0000001,SC1
13107000200,0100000,seq_0100000,SC1
13107000500,0001000,seq_0001000,SC3
13107002200,0000000,seq_0000000,SC0_no_presence
13107005000,0000000,seq_0000000,SC0_no_presence
13107010500,0000000,seq_0000000,SC0_no_presence
13107014500,0000000,seq_0000000,SC0_no_presence
13109000100,0100000,seq_0100000,SC1
13109000200,0100000,seq_0100000,SC1
13109000300,0100000,seq_0100000,SC1
13109000400,0110000,seq_0110000,SC1
13109000500,0100000,seq_0100000,SC1
13109000600,0100000,seq_0100000,SC1
13109000700,0000001,seq_0000001,SC1
13109000800,0111000,seq_0111000,SC1
13109000900,0100000,seq_0100000,SC1
13109001000,0110001,seq_0110001,SC1
13109001100,0000110,seq_0000110,SC1
13109001200,0100000,seq_0100000,SC1
13109001300,0101110,seq_0101110,SC1
13109001400,0101000,seq_0101000,SC1
13109001500,0101100,seq_0101100,SC1
13109001600,0100000,seq_0100000,SC1
13109001700,0000001,seq_0000001,SC1
13109001800,0001000,seq_0001000,SC3
13109001900,0001000,seq_0001000,SC3
13109002000,0001000,seq_0001000,SC3
13109002100,0000001,seq_0000001,SC1
13109002200,0100000,seq_0100000,SC1
13109002400,0001100,seq_0001100,SC3
13109003000,0101000,seq_0101000,SC1
13110000100,1100010,seq_1100010,SC1
13110000200,1100000,seq_1100000,SC1
13110000300,1111111,seq_1111111,SC1
13110000400,0100000,seq_0100000,SC1
13110000500,0100000,seq_0100000,SC1
13110000600,0100000,seq_0100000,SC1
13110000700,0100000,seq_0100000,SC1
13110000800,1111011,seq_1111011,SC1
13110000900,0110000,seq_0110000,SC1
13110001000,1000000,seq_1000000,SC5
13110001100,0010000,seq_0010000,SC2
13110001200,0110000,seq_0110000,SC1
13110001300,0100000,seq_0100000,SC1
13110001400,0100000,seq_0100000,SC1
13110001500,1100001,seq_1100001,SC1
13110001600,0100000,seq_0100000,SC1
13110001700,0100000,seq_0100000,SC1
13110001800,0001000,seq_0001000,SC3
13110001900,0100000,seq_0100000,SC1
13110002000,0110000,seq_0110000,SC1
13110002100,0100000,seq_0100000,SC1
13110002200,0100000,seq_0100000,SC1
13110002300,0100000,seq_0100000,SC1
13110002400,0100000,seq_0100000,SC1
13110002500,0001000,seq_0001000,SC3
13110002600,0000000,seq_0000000,SC0_no_presence
13110002700,0100000,seq_0100000,SC1
13110002800,0100000,seq_0100000,SC1
13110002900,0100011,seq_0100011,SC1
13110003000,0100000,seq_0100000,SC1
13110003100,0100000,seq_0100000,SC1
13110003200,1000000,seq_1000000,SC5
13110003300,1100011,seq_1100011,SC1
13110003400,0100000,seq_0100000,SC1
13110003500,0100000,seq_0100000,SC1
13110003600,0100000,seq_0100000,SC1
13110003700,0100000,seq_0100000,SC1
13110003800,0100000,seq_0100000,SC1
13110003900,0100000,seq_0100000,SC1
13110004000,0100000,seq_0100000,SC1
13110004100,0100000,seq_0100000,SC1
13110004400,0100000,seq_0100000,SC1
13110004500,0000001,seq_0000001,SC1
13110004600,0000001,seq_0000001,SC1
13110004700,1111011,seq_1111011,SC1
13110004900,0100001,seq_0100001,SC1
13110005000,1000000,seq_1000000,SC5
13110005100,1110000,seq_1110000,SC1
13110005200,0100000,seq_0100000,SC1
13110005300,1110000,seq_1110000,SC1
13110005400,1110000,seq_1110000,SC1
13110005600,0100001,seq_0100001,SC1
13110005700,0100000,seq_0100000,SC1
13110005800,0100000,seq_0100000,SC1
13110005900,0000001,seq_0000001,SC1
13110006000,0100000,seq_0100000,SC1
13110006100,0100001,seq_0100001,SC1
13110006200,0100000,seq_0100000,SC1
13110006300,0100000,seq_0100000,SC1
13111000100,0100000,seq_0100000,SC1
13111000200,0111000,seq_0111000,SC1
13111000300,0001100,seq_0001100,SC3
13111000400,0001100,seq_0001100,SC3
13111000500,0001000,seq_0001000,SC3
13111000600,0001100,seq_0001100,SC3
13111000700,0001100,seq_0001100,SC3
13111000800,0001000,seq_0001000,SC3
13111000900,0001000,seq_0001000,SC3
13111001000,0001000,seq_0001000,SC3
13111001100,0001000,seq_0001000,SC3
13111001200,0001000,seq_0001000,SC3
13111001300,0001000,seq_0001000,SC3
13111001400,0001000,seq_0001000,SC3
13111001500,0001000,seq_0001000,SC3
13111001600,0001000,seq_0001000,SC3
13111001700,0001000,seq_0001000,SC3
13111001800,0001000,seq_0001000,SC3
13111001900,0001000,seq_0001000,SC3
13111002000,0001000,seq_0001000,SC3
13111002100,0001000,seq_0001000,SC3
13111002200,0001000,seq_0001000,SC3
13111002300,0001000,seq_0001000,SC3
13111002400,0001000,seq_0001000,SC3
13111002500,0001000,seq_0001000,SC3
13111002600,0001000,seq_0001000,SC3
13111002800,0001000,seq_0001000,SC3
13111002900,0000001,seq_0000001,SC1
13111003000,0001000,seq_0001000,SC3
13111003100,0001100,seq_0001100,SC3
13111003200,0001100,seq_0001100,SC3
13111003300,0000001,seq_0000001,SC1
13111003400,0001100,seq_0001100,SC3
13111003500,0001000,seq_0001000,SC3
13111003600,0001000,seq_0001000,SC3
13111003700,0001100,seq_0001100,SC3
13111003800,0001000,seq_0001000,SC3
